Date = 2020-03-04 17:28:15 | Message = MirasysVCAInterfaceService OnConnectionEvent(): start
Date = 2020-03-04 17:28:15 | Message = MirasysVCAInterfaceService OnConnectionEvent(): ConnectionFailed 
Date = 2020-03-04 17:28:20 | Message = MirasysVCAInterfaceService Disconnect(): start 
Date = 2020-03-04 17:28:20 | Message = MirasysVCAInterfaceService Connect(): Start
Date = 2020-03-04 17:28:22 | Message = MirasysVCAInterfaceService OnUserStatusChanged(): logged out : ConnectionError
Date = 2020-03-04 17:28:22 | Message = MirasysVCAInterfaceService OnUserStatusChanged():After Connect
Date = 2020-03-04 17:28:22 | Message = MirasysVCAInterfaceService OnConnectionEvent(): start
Date = 2020-03-04 17:28:22 | Message = MirasysVCAInterfaceService OnConnectionEvent(): ConnectionFailed 
Date = 2020-03-04 17:28:27 | Message = MirasysVCAInterfaceService Disconnect(): start 
Date = 2020-03-04 17:28:27 | Message = MirasysVCAInterfaceService Connect(): Start
Date = 2020-03-04 17:28:29 | Message = MirasysVCAInterfaceService OnUserStatusChanged(): logged out : ConnectionError
Date = 2020-03-04 17:28:29 | Message = MirasysVCAInterfaceService OnUserStatusChanged():After Connect
Date = 2020-03-04 17:28:29 | Message = MirasysVCAInterfaceService OnConnectionEvent(): start
Date = 2020-03-04 17:28:29 | Message = MirasysVCAInterfaceService OnConnectionEvent(): ConnectionFailed 
Date = 2020-03-04 17:28:34 | Message = MirasysVCAInterfaceService Disconnect(): start 
Date = 2020-03-04 17:28:34 | Message = MirasysVCAInterfaceService Connect(): Start
Date = 2020-03-04 17:28:36 | Message = MirasysVCAInterfaceService OnUserStatusChanged(): logged out : ConnectionError
Date = 2020-03-04 17:28:36 | Message = MirasysVCAInterfaceService OnUserStatusChanged():After Connect
Date = 2020-03-04 17:28:36 | Message = MirasysVCAInterfaceService OnConnectionEvent(): start
Date = 2020-03-04 17:28:36 | Message = MirasysVCAInterfaceService OnConnectionEvent(): ConnectionFailed 
