Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  SUNDERPUR CHAURAHA
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Location name:  LOHAMANDI CHAURAHA
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  LOHAMANDI CHAURAHA TOWARDS SINGH MEDICAL
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  LOHAMANDI CHAURAHA TOWARDS AURANGABAD
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  LOHAMANDI CHAURAHA TOWARDS TELIYABAGH
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  LOHAMANDI CHAURAHA TOWARDS MALDHAIYA
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Location name:  BHOJUVIR TIRAHA
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  BHOJUVIR TIRAHA TOWARDS ARDALI BAZAR
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  BHOJUVIR TIRAHA TOWARDS AIRPORT
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  BHOJUVIR TIRAHA TOWARDS CIRCUIT HOUSE
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Location name:  BHIKARIPUR TIRAHA
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  BHIKARIPUR TIRAHA TOWARDS SUNDRPUR
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  BHIKARIPUR TIRAHA TOWARDS CHITAIPUR
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  BHIKARIPUR TIRAHA TOWARDS DLW KAKARMATTA
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Location name:  BAULIYA
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  BAULIYA TIRAHA
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  BAULIYA TIRAHA PTZ
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Location name:  MANDUADIH TIRAHA
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  MANDUADIH TIRAHA
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  MANDUADIH TIRAHA PTZ
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Location name:  JP MEHTA 
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  JP MEHTA
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  JP MEHTA PTZ
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Location name:  DASHASHWAMEDH GHAT
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  DASHASHWAMEDH GHAT PTZ
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  DASHASHWAMEDH GHAT 
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Location name:  SANKUL BHAWAN
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  SANKUL BHAWAN
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  SANKUL BHAWAN PTZ
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Location name:  PIPLANI KATRA 
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  PIPLANI KATRA PTZ
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  PIPLANI KATRA TOWARDS LAHURAVEER
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Location name:  MACHODARI 
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  MACHODARI TIRAHA
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  MACHODARI TIRAHA 1 TOWARDS GAI GHAT
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Location name:  RAVINDRAPURI CHAURAHA
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  RAVINDRAPURI CHAURAHA TOWARDS GHAT
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  RAVINDRAPURI CHAURAHA TOWARDS BHU
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  RAVINDRAPURI CHAURAHA TOWARDS GHAT
Date = 2019-09-15 11:34:27 | Message = MirasysInterface getCamDeviceList() Camera name:  RAVINDRAPURI CHAURAHA TOWARDS NEEMA MAI
